"","PU_4Km_ID","raw_score","obs_score","UpperOceanSR","depth","max_depth","dive_samps","hook_samps","mid_samps","deep_samps","normalized_obs_score","normalized_score","sponge_rank","sponge_hotspot","sponge_hotspot2"
"1",6265,2.60243298878974e-05,0,"(13) Eastern Queen Charlotte Sound",18,28,3,0,0,0,0,2.60243298878974e-05,2,0,0
"2",6267,0.363131576351018,0.333333333333333,"(11) Mainland Fjords",24.4285714285714,30,7,0,0,0,0.333333333333333,0.363131576351018,10,1,1
"3",6423,0.000231303953003498,0,"(13) Eastern Queen Charlotte Sound",21.5,31,14,0,0,0,0,0.000231303953003498,3,0,0
"4",6424,2.60379866768316e-05,0,"(11) Mainland Fjords",15.8,28,5,0,0,0,0,2.60379866768316e-05,2,0,0
"5",6425,0.2866388261802,0.194444444444444,"(11) Mainland Fjords",19.9333333333333,32,15,0,0,0,0.194444444444444,0.2866388261802,9,0,1
"6",6426,0.45769087849522,0.25,"(11) Mainland Fjords",25.5,33,2,0,0,0,0.25,0.45769087849522,10,1,1
"7",6581,9.5637882906213e-05,0,"(13) Eastern Queen Charlotte Sound",25,30,2,0,0,0,0,9.5637882906213e-05,3,0,0
"8",6736,0.0111156665504251,0,"(13) Eastern Queen Charlotte Sound",84,84,0,0,2,0,0,0.0111156665504251,5,0,1
"9",6737,0.0323465566514828,0.0348132633324397,"(13) Eastern Queen Charlotte Sound",76.425,76.425,0,0,1,0,0.0348132633324397,0.0323465566514828,5,0,1
"10",6739,6.36192349943759e-06,0,"(11) Mainland Fjords",26,26,1,0,0,0,0,6.36192349943759e-06,1,0,0
"11",6740,9.5593370023657e-05,0,"(11) Mainland Fjords",17,30,6,0,0,0,0,9.5593370023657e-05,3,0,0
"12",6741,0.282818981476084,0.208333333333333,"(11) Mainland Fjords",19.3333333333333,30,3,0,0,0,0.208333333333333,0.282818981476084,9,0,1
"13",6742,0.488022339345859,0.291666666666667,"(11) Mainland Fjords",18.4,30,5,0,0,0,0.291666666666667,0.488022339345859,10,1,1
"14",6895,0.00290310978182601,0,"(13) Eastern Queen Charlotte Sound",33.5766666666667,53.11,4,0,3,0,0,0.00290310978182601,4,0,0
"15",6896,0.155547153023459,0.0416666666666667,"(13) Eastern Queen Charlotte Sound",18.6,30,10,0,0,0,0.0416666666666667,0.155547153023459,7,0,1
"16",6899,0.243313310213784,0.0625,"(11) Mainland Fjords",24.0625,33,8,0,1,0,0.0625,0.243313310213784,8,0,1
"17",6900,0.532945752734097,0.666666666666667,"(11) Mainland Fjords",16.6666666666667,30,15,0,0,0,0.666666666666667,0.532945752734097,10,1,1
"18",7051,4.01404680282959e-07,0,"(13) Eastern Queen Charlotte Sound",21,22,2,0,0,0,0,4.01404680282959e-07,1,0,0
"19",7052,9.5637882906213e-05,0,"(13) Eastern Queen Charlotte Sound",25,30,2,0,0,0,0,9.5637882906213e-05,3,0,0
"20",7054,0.155675761492557,0.0416666666666667,"(11) Mainland Fjords",20.6,32,5,0,0,0,0.0416666666666667,0.155675761492557,7,0,1
"21",7056,0.281583551208429,0.327824896392078,"(11) Mainland Fjords",44.4478163385714,63.35862069,0,0,14,0,0.327824896392078,0.281583551208429,9,0,1
"22",7057,0.307379487265817,0.224881373340728,"(11) Mainland Fjords",40.0594656035,113,8,0,30,0,0.224881373340728,0.307379487265817,9,0,1
"23",7058,0.00219974225580973,0,"(11) Mainland Fjords",23.696058665,31.45735294,3,0,2,0,0,0.00219974225580973,4,0,0
"24",7060,0.297673610725308,0.152777777777778,"(11) Mainland Fjords",18.375,30,8,0,0,0,0.152777777777778,0.297673610725308,9,0,1
"25",7208,0.258548235646543,0.0833333333333333,"(13) Eastern Queen Charlotte Sound",22,26,2,0,0,0,0.0833333333333333,0.258548235646543,8,0,1
"26",7214,0.150108718490135,0.121573298332887,"(11) Mainland Fjords",30.1721434871429,94,8,0,7,0,0.121573298332887,0.150108718490135,7,0,1
"27",7215,0.214783836690951,0.125,"(11) Mainland Fjords",22.75,30,4,0,0,0,0.125,0.214783836690951,8,0,1
"28",7216,0.00797603090165196,0,"(11) Mainland Fjords",54.7,54.7,0,0,3,0,0,0.00797603090165196,4,0,0
"29",7217,0.270827754484687,0.0443446100026092,"(11) Mainland Fjords",67.4030187188462,185.7,2,0,13,0,0.0443446100026092,0.270827754484687,8,0,1
"30",7218,0.129187369896398,0.0277777777777778,"(11) Mainland Fjords",27,27,1,0,0,0,0.0277777777777778,0.129187369896398,6,0,1
"31",7370,0.199657581962893,0.0972222222222223,"(11) Mainland Fjords",17.6666666666667,30,3,0,0,0,0.0972222222222223,0.199657581962893,8,0,1
"32",7372,0.229082865174114,0.199761820547112,"(11) Mainland Fjords",104.349999996667,123.0333333,0,0,9,0,0.199761820547112,0.229082865174114,8,0,1
"33",7373,0.0311411626366019,0.0116044211166154,"(11) Mainland Fjords",57.3000000166667,101.2666667,3,0,1,0,0.0116044211166154,0.0311411626366019,5,0,1
"34",7374,0.219518446213363,0.125,"(11) Mainland Fjords",21.4,33,5,0,0,0,0.125,0.219518446213363,8,0,1
"35",7375,0.0539122630307119,0.0269936175059805,"(11) Mainland Fjords",63.4720261572727,117.75,0,0,11,0,0.0269936175059805,0.0539122630307119,6,0,1
"36",7376,0.106703113485542,0.0208333333333333,"(11) Mainland Fjords",23.5166666666667,31,3,0,2,0,0.0208333333333333,0.106703113485542,6,0,1
"37",7528,0.2941477916117,0.277777777777778,"(11) Mainland Fjords",17.3333333333333,30,6,0,0,0,0.277777777777778,0.2941477916117,9,0,1
"38",7529,0.197438902222236,0.220194937640246,"(11) Mainland Fjords",35.7949828976026,137.9666667,3,0,13,0,0.220194937640246,0.197438902222236,8,0,1
"39",7530,0.160728450796631,0.195050978178655,"(11) Mainland Fjords",37.4809689703043,66,0,0,23,0,0.195050978178655,0.160728450796631,7,0,1
"40",7533,0.00590533352605001,0,"(11) Mainland Fjords",70,70,0,0,1,0,0,0.00590533352605001,4,0,0
"41",7534,0.270846080535533,0.0694444444444444,"(11) Mainland Fjords",25.7851869342424,61.45071429,6,0,11,0,0.0694444444444444,0.270846080535533,9,0,1
"42",7686,0.357209314331465,0.215422727296376,"(11) Mainland Fjords",59.4049905403333,154.1585526,6,0,5,0,0.215422727296376,0.357209314331465,9,0,1
"43",7687,1,1,"(11) Mainland Fjords",46.3326984670238,192.8684211,12,0,42,0,1,1,10,1,1
"44",7688,0.566390145783636,0.631113836012576,"(11) Mainland Fjords",79.0170388461638,167.327653,16,0,16,29,0.631113836012576,0.566390145783636,10,1,1
"45",7689,0.283034958717697,0.208333333333333,"(11) Mainland Fjords",20.4,30,5,0,0,0,0.208333333333333,0.283034958717697,9,0,1
"46",7843,0.702459810885455,0.611111111111111,"(11) Mainland Fjords",17.8823529411765,32,17,0,0,0,0.611111111111111,0.702459810885455,10,1,1
"47",7845,0.312762137138513,0.177999185471753,"(11) Mainland Fjords",31.4494931184375,171.3774319,13,0,16,0,0.177999185471753,0.312762137138513,9,0,1
"48",7846,0.172989285408764,0.0932335077274138,"(11) Mainland Fjords",57.173499998,100.8333333,8,0,10,0,0.0932335077274138,0.172989285408764,7,0,1
"49",7847,0.432155685651616,0.233704752313648,"(11) Mainland Fjords",35.2209920633333,87.6,3,0,14,0,0.233704752313648,0.432155685651616,10,1,1
"50",7850,0.0181351691219548,0.00386814036640294,"(11) Mainland Fjords",71,71,0,0,1,0,0.00386814036640294,0.0181351691219548,5,0,1
"51",7851,0.128772149743195,0.0416666666666667,"(11) Mainland Fjords",15.4,29,5,0,0,0,0.0416666666666667,0.128772149743195,6,0,1
"52",7852,0.35116538012165,0.472222222222222,"(11) Mainland Fjords",17.5555555555556,30,9,0,0,0,0.472222222222222,0.35116538012165,9,0,1
"53",7853,9.5599037864156e-05,0,"(11) Mainland Fjords",17.6666666666667,30,3,0,0,0,0,9.5599037864156e-05,3,0,0
"54",7997,0.00136480542411604,0,"(13) Eastern Queen Charlotte Sound",30.266666665,35.53333333,2,0,1,0,0,0.00136480542411604,4,0,0
"55",7999,0.151988624821481,0.0416666666666667,"(11) Mainland Fjords",14.2727272727273,30,11,0,0,0,0.0416666666666667,0.151988624821481,7,0,1
"56",8000,0.273671867614514,0.0833333333333332,"(11) Mainland Fjords",17.3333333333333,32,6,0,0,0,0.0833333333333332,0.273671867614514,9,0,1
"57",8001,0.0753995601700095,0.0522198949986595,"(11) Mainland Fjords",50.3558333335714,134.06,5,0,7,0,0.0522198949986595,0.0753995601700095,6,0,1
"58",8002,3.09183917317851e-06,0,"(11) Mainland Fjords",16,25,3,0,0,0,0,3.09183917317851e-06,1,0,0
"59",8003,0.212931768626494,0.125,"(11) Mainland Fjords",23,29,2,0,0,0,0.125,0.212931768626494,8,0,1
"60",8009,0.336175034740617,0.166666666666667,"(11) Mainland Fjords",15.6666666666667,27,3,0,0,0,0.166666666666667,0.336175034740617,9,0,1
"61",8010,0.456717410309358,0.402777777777778,"(11) Mainland Fjords",15.3333333333333,30,6,0,0,0,0.402777777777778,0.456717410309358,10,1,1
"62",8011,0.309531557003349,0.222222222222222,"(11) Mainland Fjords",23,28,2,0,0,0,0.222222222222222,0.309531557003349,9,0,1
"63",8012,0.250870756607812,0.0694444444444444,"(11) Mainland Fjords",17.6666666666667,30,3,0,0,0,0.0694444444444444,0.250870756607812,8,0,1
"64",8155,0.417902097786742,0.478682370821046,"(11) Mainland Fjords",92.8098821572222,124.5545455,0,0,18,0,0.478682370821046,0.417902097786742,10,1,1
"65",8156,0.0907183020176244,0.0348132633324397,"(11) Mainland Fjords",57.7335920427451,124.3333333,17,0,3,0,0.0348132633324397,0.0907183020176244,6,0,1
"66",8157,0.135842015793087,0.0138888888888889,"(11) Mainland Fjords",20.2631578947368,33,19,0,0,0,0.0138888888888889,0.135842015793087,6,0,1
"67",8159,0.385633662895497,0.208333333333333,"(11) Mainland Fjords",21,32,4,0,0,0,0.208333333333333,0.385633662895497,10,1,1
