Dive_Bin,X4km2grid,binArea,AvgDepth,Aphrocallistidae,Boot.sponge,Chrysopathes,Farrea,Mycale,Paragorgia,Primnoa,Swiftia,Stylaster,Greenstriped rockfish,Quillback rockfish,Redbanded rockfish,Redstriped rockfish,Rosethorn rockfish,Sebastolobus alascanus,Sharpchin rockfish,Shortraker rockfish,Tiger rockfish,Yelloweye rockfish,X1km2grid,UpperOceanSR
B054_74,8792,121.4971267,241.2482623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34418,(11) Mainland Fjords
B054_75,8792,118.7677585,242.5845143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34418,(11) Mainland Fjords
B054_76,8792,120.894728,242.0335536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34418,(11) Mainland Fjords
B054_77,8792,121.0389498,241.3305517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34418,(11) Mainland Fjords
B054_78,8792,121.8847701,237.1867069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34418,(11) Mainland Fjords
B054_79,8792,120.9154341,232.9986563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34418,(11) Mainland Fjords
B054_8,8792,121.7183656,295.1816842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34418,(11) Mainland Fjords
B054_80,8792,121.669271,236.2330567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34418,(11) Mainland Fjords
B054_81,8792,120.7055118,240.6979638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34418,(11) Mainland Fjords
B054_82,8792,83.89934024,241.4063382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34418,(11) Mainland Fjords
B054_9,8792,119.1766998,295.4523289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34418,(11) Mainland Fjords
B053_1,9108,120.0431651,185.787099,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36375,(11) Mainland Fjords
B053_10,9108,121.6477745,150.7895577,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,36375,(11) Mainland Fjords
B053_11,9108,120.4447188,157.5343677,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,36375,(11) Mainland Fjords
B053_12,9108,120.4835428,165.1686774,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36375,(11) Mainland Fjords
B053_13,9108,120.9085994,162.4646678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36375,(11) Mainland Fjords
B053_14,9108,121.7194023,154.6502876,0,0,0,0,2,1,0,2,0,0,0,0,0,0,0,2,0,0,0,36375,(11) Mainland Fjords
B053_15,9108,120.9850753,159.6291877,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36375,(11) Mainland Fjords
B053_2,9108,120.5821951,177.2224167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36375,(11) Mainland Fjords
B053_3,9108,121.2402078,177.2775147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36375,(11) Mainland Fjords
B053_4,9108,118.122087,174.6685745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36375,(11) Mainland Fjords
B053_5,9108,118.4754104,163.5822778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36375,(11) Mainland Fjords
B053_6,9108,121.1277884,166.1592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36375,(11) Mainland Fjords
B053_7,9108,120.2631896,162.146178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36375,(11) Mainland Fjords
B053_8,9108,121.503175,156.1556071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36375,(11) Mainland Fjords
B053_9,9108,120.4582773,153.432123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36375,(11) Mainland Fjords
B053_16,9108,120.9095018,178.0297,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36598,(11) Mainland Fjords
