"","PU_1Km_ID","raw_score","obs_score","UpperOceanSR","PU_4Km_ID","depth","max_depth","dive_samps","hook_samps","mid_samps","deep_samps","normalized_obs_score","normalized_score","sponge_rank","sponge_hotspot","sponge_hotspot2"
"65",26575,0.0391044244132037,0.00713461836461794,"(11) Mainland Fjords",7217,97.1889533354545,132.2,0,0,11,0,0.00713461836461794,0.0391044244132037,7,0,1
"66",26769,0.228996644653357,0.184947993726773,"(11) Mainland Fjords",7372,114.93055555,123.0333333,0,0,6,0,0.184947993726773,0.228996644653357,9,1,1
"67",26774,0.000663709136566508,0,"(11) Mainland Fjords",7374,27,33,2,0,0,0,0,0.000663709136566508,4,0,0
"68",26776,0.217590577582023,0.2,"(11) Mainland Fjords",7374,24,30,2,0,0,0,0.2,0.217590577582023,9,1,1
"69",26780,0.0538450962039605,0.0359584081934759,"(11) Mainland Fjords",7375,63.4720261572727,117.75,0,0,11,0,0.0359584081934759,0.0538450962039605,7,0,1
"70",26977,0.0796170470545565,0.0811562838163728,"(11) Mainland Fjords",7372,113.05,114.375,0,0,2,0,0.0811562838163728,0.0796170470545565,7,0,1
"71",26978,0.0310202136854452,0.0309166795645527,"(11) Mainland Fjords",7373,101.2666667,101.2666667,0,0,1,0,0.0309166795645527,0.0310202136854452,6,0,1
"72",26981,8.80661942176527e-07,0,"(11) Mainland Fjords",7373,24,24,1,0,0,0,0,8.80661942176527e-07,1,0,0
"73",27174,0.196869545967275,0.155555555555556,"(11) Mainland Fjords",7370,24,30,2,0,0,0,0.155555555555556,0.196869545967275,9,1,1
"74",27192,0.102906399244786,0.0333333333333333,"(11) Mainland Fjords",7376,26.35,31,2,0,2,0,0.0333333333333333,0.102906399244786,7,0,1
"75",27385,0.000287750909394165,0,"(11) Mainland Fjords",7372,23.46666667,23.46666667,0,0,1,0,0,0.000287750909394165,4,0,0
"76",27586,0.0687820977716551,0.11490699233444,"(11) Mainland Fjords",7530,32.0340277775,37.4,0,0,4,0,0.11490699233444,0.0687820977716551,7,0,1
"77",27593,0.00467367296705994,0,"(11) Mainland Fjords",7534,61.45071429,61.45071429,0,0,1,0,0,0.00467367296705994,5,0,0
"78",27594,0.263173930516088,0.133333333333333,"(11) Mainland Fjords",7534,24,30,2,0,0,0,0.133333333333333,0.263173930516088,9,1,1
"79",27778,0.296146164330089,0.377777777777778,"(11) Mainland Fjords",7528,23,28,2,0,0,0,0.377777777777778,0.296146164330089,10,1,1
"80",27786,0.000115071690614925,0,"(11) Mainland Fjords",7530,20.9,20.9,0,0,1,0,0,0.000115071690614925,4,0,0
"81",27787,0.00223958606123871,0,"(11) Mainland Fjords",7530,21.085016025,25.6375,0,0,4,0,0,0.00223958606123871,5,0,0
"82",27980,0.151295556633253,0.0666666666666667,"(11) Mainland Fjords",7528,24,30,2,0,0,0,0.0666666666666667,0.151295556633253,8,0,1
"83",27986,0.0958809914600087,0.154583397776389,"(11) Mainland Fjords",7529,90.291666675,137.9666667,0,0,4,0,0.154583397776389,0.0958809914600087,7,0,1
"84",27987,0.00729424107183527,0,"(11) Mainland Fjords",7530,60.675,63.4,0,0,2,0,0,0.00729424107183527,5,0,0
"85",27991,0.00579816080173418,0,"(11) Mainland Fjords",7533,70,70,0,0,1,0,0,0.00579816080173418,5,0,0
"86",27992,0.00344410765062897,0,"(11) Mainland Fjords",7534,31,41.66666667,0,0,3,0,0,0.00344410765062897,5,0,0
"87",28184,0.0363381019264443,0.0463750193236416,"(11) Mainland Fjords",7529,125.0694915,125.0694915,0,0,1,0,0.0463750193236416,0.0363381019264443,7,0,1
"88",28186,0.197069963010821,0.220749621884692,"(11) Mainland Fjords",7529,28.988296703,55.25,2,0,5,0,0.220749621884692,0.197069963010821,9,1,1
"89",28187,0.16072270339503,0.14492193538638,"(11) Mainland Fjords",7530,57.62638888875,66,0,0,8,0,0.14492193538638,0.16072270339503,8,0,1
"90",28190,0.107194574199826,0.0444444444444444,"(11) Mainland Fjords",7534,26.9992903521429,49,2,0,7,0,0.0444444444444444,0.107194574199826,7,0,1
"91",28377,0.207667019822996,0.133333333333333,"(11) Mainland Fjords",7686,24,33,2,0,0,0,0.133333333333333,0.207667019822996,9,1,1
"92",28381,0.409267299178979,0.349744937414589,"(11) Mainland Fjords",7687,111.784242475556,154.5222222,0,0,9,0,0.349744937414589,0.409267299178979,10,1,1
"93",28382,0.00798514185689508,0,"(11) Mainland Fjords",7687,42.73167023,72.2860241,0,0,4,0,0,0.00798514185689508,5,0,0
"94",28383,0.000503422293337694,0,"(11) Mainland Fjords",7687,26.32,26.32,0,0,1,0,0,0.000503422293337694,4,0,0
"95",28384,0.56446355757736,0.533333333333333,"(11) Mainland Fjords",7688,78.9359205086207,167.327653,2,0,0,29,0.533333333333333,0.56446355757736,10,1,1
"96",28577,0.198793961808811,0.2,"(11) Mainland Fjords",7687,23,27,2,0,0,0,0.2,0.198793961808811,9,1,1
