binGrp,coralFix,area.m2,black,bocaccio,brown,canary,china,copper,deacon,dusky,greenstripe,puget.sound,pygmy,quillback,redstripe,rosethorn,sharpchin,silvergray,splitnose,stripetail,tiger,vermillion,widow,yelloweye,yellowtail,blackspotted,shortraker,shortbelly,depth,Glass.sponge.cover,Paragorgia.Pac_count,Stylaster_count,CalcigorgiaNew,ParagorgiaNew,StylasterNew,PU_1Km_ID,PU_4Km_ID,UpperOceanSR
T_108_7,FALSE,116.1112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,50.7892199,0,0,0,,,,49701,11152,(11) Mainland Fjords
T_108_8,FALSE,121.4039,0,0,0,0,0,0,0,0,0,10,0,1,0,0,0,0,0,0,0,0,1,0,0,NA,NA,NA,51.16656954,0,0,0,,,,49701,11152,(11) Mainland Fjords
T_108_9,FALSE,110.1154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,52.82179487,0,0,0,,,,49701,11152,(11) Mainland Fjords
T_109_1,FALSE,59.503,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,33.41184211,1,0,0,,,,51573,11310,(11) Mainland Fjords
T_109_2,FALSE,180.2658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,30.6,1,0,0,,,,51573,11310,(11) Mainland Fjords
T_109_3,FALSE,410.4323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,35.2,0,0,0,,,,51573,11310,(11) Mainland Fjords
T_109_4,FALSE,55.1114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,36.2,0,0,0,,,,51573,11310,(11) Mainland Fjords
T_11_1,FALSE,61.299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,41,0,0,0,,,,32472,8326,(11) Mainland Fjords
T_11_2,FALSE,151.213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,41,0,0,0,,,,32472,8326,(11) Mainland Fjords
T_11_3,FALSE,76.5624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,41,0,0,0,,,,32472,8326,(11) Mainland Fjords
T_11_4,FALSE,193.0184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,41,0,0,0,,,,32472,8326,(11) Mainland Fjords
T_11_5,FALSE,79.5932,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,41,0,0,0,,,,32472,8326,(11) Mainland Fjords
T_110_1,FALSE,126.6556,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,31.64347826,0,0,0,,,,40376,9736,(11) Mainland Fjords
T_110_10,FALSE,100.9039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,149.1285714,0,0,0,,,,40376,9736,(11) Mainland Fjords
T_110_11,FALSE,57.4969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,165.7095238,0,0,0,,,,40634,9736,(11) Mainland Fjords
T_110_2,FALSE,122.8653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,49.75836735,0,0,0,,,,40376,9736,(11) Mainland Fjords
T_110_3,FALSE,108.8796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,60.26666667,0,0,0,,,,40376,9736,(11) Mainland Fjords
T_110_4,FALSE,111.5391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,67.00190476,0,0,0,,,,40376,9736,(11) Mainland Fjords
T_110_5,FALSE,110.5877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,75.62156863,0,0,0,,,,40376,9736,(11) Mainland Fjords
T_110_6,FALSE,84.6778,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,85.74705882,0,0,0,,,,40376,9736,(11) Mainland Fjords
T_110_7,FALSE,244.106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,102.7,1,0,0,,,,40376,9736,(11) Mainland Fjords
T_110_8,FALSE,120.7329,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,109.5411765,1,0,0,,,,40376,9736,(11) Mainland Fjords
T_110_9,FALSE,331.1721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,137.5,0,0,0,,,,40376,9736,(11) Mainland Fjords
T_111_1,FALSE,65.8573,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,17.925,0,0,0,,,,51809,11460,(13) Eastern Queen Charlotte Sound
