"","PU_1Km_ID","raw_score","UpperOceanSR","PU_4Km_ID","depth","max_depth","dive_samps","hook_samps","mid_samps","deep_samps","normalized_score","coral_rank","coral_hotspot"
"87",28184,1.49443334262545e-06,"(11) Mainland Fjords",7529,125.0694915,125.0694915,0,0,1,0,1.36239148911384e-06,3,0
"88",28186,8.67102278991321e-06,"(11) Mainland Fjords",7529,38.0580357141667,55.25,1,0,2,0,7.90488763462413e-06,4,0
"89",28187,4.28776631572831e-07,"(11) Mainland Fjords",7530,57.62638888875,66,0,0,8,0,3.90891729275433e-07,1,0
"90",28190,1.33932817956098e-05,"(11) Mainland Fjords",7534,32.7396230158333,49,2,0,2,0,1.22099076681371e-05,7,0
"91",28377,8.3440122493057e-06,"(11) Mainland Fjords",7686,33,33,1,0,0,0,7.60677037193546e-06,3,0
"92",28381,1.05458183789274e-06,"(11) Mainland Fjords",7687,111.784242475556,154.5222222,0,0,9,0,9.614034159563e-07,3,0
"93",28382,4.80270095121921e-07,"(11) Mainland Fjords",7687,51.29112021,72.2860241,0,0,2,0,4.37835446658656e-07,2,0
"94",28383,5.17028029113881e-08,"(11) Mainland Fjords",7687,26.32,26.32,0,0,1,0,4.71345603986968e-08,1,0
"95",28384,0.000152991401177917,"(11) Mainland Fjords",7688,81.1859205086206,167.327653,1,0,0,29,0.000139473723536049,10,1
"96",28577,1.39233730195412e-05,"(11) Mainland Fjords",7687,25,27,2,0,0,0,1.26931622579131e-05,8,0
"97",28578,6.66152241351189e-07,"(11) Mainland Fjords",7687,74.5399906633333,100.46,0,0,3,0,6.07293827154948e-07,2,0
"98",28579,1.25631069777475e-05,"(11) Mainland Fjords",7687,34.8520135205556,54.62433862,1,0,2,0,1.14530836104342e-05,6,0
"99",28581,5.20751939492468e-06,"(11) Mainland Fjords",7688,36.7009260466667,50,4,0,4,0,4.74740485284983e-06,3,0
"100",28778,1.04369962481154e-05,"(11) Mainland Fjords",7686,25.5,31,2,0,0,0,9.51482709517498e-06,5,0
"101",28784,1.08500983393347e-05,"(11) Mainland Fjords",7688,29,29,1,0,0,0,9.89142922064917e-06,5,0
"102",28785,1.23441569225863e-05,"(11) Mainland Fjords",7688,27,27,1,0,0,0,1.12534790625535e-05,6,0
"103",28786,1.49400619876955e-05,"(11) Mainland Fjords",7688,24,24,1,0,0,0,1.36200208589504e-05,8,0
"104",28787,1.36155460175469e-05,"(11) Mainland Fjords",7689,27,30,2,0,0,0,1.24125335569369e-05,7,0
"105",28790,1.41891561344771e-05,"(11) Mainland Fjords",7689,25.5,28,2,0,0,0,1.29354618931063e-05,8,0
"106",28983,1.02050027395961e-06,"(11) Mainland Fjords",7686,100.643314414,154.1585526,0,0,5,0,9.30333155869217e-07,2,0
"107",28984,8.60920891426567e-06,"(11) Mainland Fjords",7687,54.6545298192222,118.7,1,0,5,0,7.8485353734096e-06,4,0
"108",28985,6.14910850645471e-07,"(11) Mainland Fjords",7687,69.7664047785,91.38333333,0,0,5,0,5.60579910517367e-07,2,0
"109",28986,1.67406376909633e-06,"(11) Mainland Fjords",7687,123.2141626125,192.8684211,0,0,4,0,1.52615052555228e-06,3,0
"110",28987,1.2909358858872e-05,"(11) Mainland Fjords",7687,26,30,3,0,0,0,1.17687421296057e-05,7,0
"111",28989,9.06913969166855e-07,"(11) Mainland Fjords",7688,101.11833333,102.5,0,0,10,0,8.26782859903742e-07,2,0
"112",28990,9.43555835882764e-06,"(11) Mainland Fjords",7688,35.40925,45.875,1,0,1,0,8.60187205173031e-06,4,0
"113",29183,1.40239365625063e-05,"(11) Mainland Fjords",7843,25,25,1,0,0,0,1.27848404285902e-05,8,0
"114",29189,8.42032760808592e-06,"(11) Mainland Fjords",7845,36.773454379,58.70322581,2,0,2,0,7.67634282613952e-06,4,0
"115",29193,1.26193090459319e-05,"(11) Mainland Fjords",7846,63.370833325,100.8333333,2,0,2,0,1.15043198999234e-05,6,0
"116",29194,1.17063236611851e-05,"(11) Mainland Fjords",7846,59.21791666625,100.45,2,0,8,0,1.06720020692203e-05,6,0
"117",29196,1.2992302553948e-05,"(11) Mainland Fjords",7847,48.13,87.6,2,0,5,0,1.18443572681496e-05,7,0
"118",29197,4.54330618123597e-07,"(11) Mainland Fjords",7847,51.4512885798611,67.13333333,0,0,4,0,4.14187872901706e-07,2,0
"119",29205,1.08500983393347e-05,"(11) Mainland Fjords",7851,29,29,1,0,0,0,9.89142922064917e-06,5,0
"120",29391,1.01666186182427e-05,"(11) Mainland Fjords",7843,30,30,1,0,0,0,9.26833889708767e-06,5,0
"121",29398,1.51866138769228e-05,"(11) Mainland Fjords",7845,78.278210115,171.3774319,1,0,2,0,1.38447884587673e-05,9,1
