"","PU_4Km_ID","rockfish_hotspot","composite_score","rockfish_hotspot_rank"
"102",9097,0.377290797326268,0.584089904781901,3
"103",9098,0.394004042920911,0.60996394702505,7
"104",9099,0.387407707188194,0.599752054401812,6
"105",9102,0.40205463202218,0.622427192497566,8
"106",9108,0.409387514369594,0.633779344690068,9
"107",9109,0.381973433386148,0.591339168399582,5
"108",9110,0.376991263148097,0.583626191140205,3
"109",9257,0.381353473397251,0.590379398446407,5
"110",9259,0.645946444609667,1,10
"111",9260,0.377252729225709,0.584030970947871,3
"112",9265,0.414358070527713,0.641474342006947,9
"113",9266,0.382018680437301,0.591409216081602,5
"114",9267,0.374296178009621,0.579453886824628,3
"115",9268,0.405659330169791,0.628007683229718,8
"116",9269,0.413709843786848,0.64047081184392,9
"117",9414,0.404843099984652,0.626744064253331,8
"118",9415,0.379291740913684,0.587187597484003,4
"119",9418,0.41813193273372,0.647316718317707,9
"120",9419,0.376842500290668,0.58339588898641,3
"121",9428,0.366856517946042,0.567936430345593,1
"122",9445,0.36564049289853,0.566053882562167,1
"123",9572,0.413749929859587,0.640532869732889,9
"124",9573,0.37552308703986,0.581353284275419,3
"125",9574,0.379687163161607,0.587799756976826,4
"126",9575,0.389119126411313,0.602401529814829,6
"127",9586,0.416506901507023,0.644800981540676,9
"128",9730,0.453903918260509,0.702695900021239,10
"129",9731,0.379280101251286,0.587169577936879,4
"130",9732,0.387013071714517,0.599141112926755,6
"131",9733,0.393634299431248,0.609391541227715,7
"132",9734,0.410191102927379,0.635023392961392,9
"133",9736,0.379669447813241,0.587772331563289,4
"134",9737,0.378666288155824,0.586219324087533,4
"135",9739,0.37834673930021,0.585724625404259,4
"136",9740,0.370344524773007,0.573336269381897,2
"137",9741,0.401542437224199,0.621634255556346,8
"138",9745,0.36806847779701,0.56981268473337,2
"139",9887,0.396489332575544,0.61381146360382,7
"140",9889,0.427833303180688,0.662335564737443,9
"141",9890,0.382655602653314,0.592395245529287,5
"142",9891,0.369319922777161,0.571750066679806,2
"143",9895,0.380547377792624,0.589131468975855,5
"144",9904,0.367072989671242,0.568271553678195,1
"145",9905,0.379714694376209,0.58784237848954,4
