"","X","survey_id","species","gear","effort","sample_size","depth","counts","PU_4Km_ID","PU_1Km_ID","predicted_counts_mm","predicted_counts_TMB","predicted_counts_TMB2","predicted_counts_TMB_space"
"43",145541,"2018_08_27 Spiller DC1  bnGrp 19","primnoa","mid_video",120.858595,1,107.3241935,0,10682,46673,8.07473433291256,5.11715593410583,8.07473433291256,6.57041648153874e-12
"44",91641,"2018_08_27 Spiller DC1  bnGrp 19","stylaster","mid_video",120.858595,1,107.3241935,0,10682,46673,10.0483229108681,896.9926552568,10.0483229108681,2.34066362128469e-12
"45",212917,"2018_08_27 Spiller DC1  bnGrp 2","calcigorgia","mid_video",119.0820287,1,60.32295082,0,10683,46674,2.40761429716351e-21,2.31789029887116,2.40761429716351e-21,8.2029327179405e-16
"46",72777,"2018_08_27 Spiller DC1  bnGrp 2","paragorgia","mid_video",119.0820287,1,60.32295082,0,10683,46674,1.62359845932176,1.67123167907052,1.62359845932176,1.99099939731673e-12
"47",145542,"2018_08_27 Spiller DC1  bnGrp 2","primnoa","mid_video",119.0820287,1,60.32295082,0,10683,46674,7.93131674093936,4.91322730722439,7.93131674093936,5.62002854200213e-12
"48",91642,"2018_08_27 Spiller DC1  bnGrp 2","stylaster","mid_video",119.0820287,1,60.32295082,0,10683,46674,618.678628086117,1816.46268089969,618.678628086117,1.7487096761356e-12
"49",212918,"2018_08_27 Spiller DC1  bnGrp 20","calcigorgia","mid_video",120.9343137,1,116.2709677,0,10682,46673,2.73111203725903e-155,0.000896825854032401,2.73111203725903e-155,5.56463875330531e-19
"50",72778,"2018_08_27 Spiller DC1  bnGrp 20","paragorgia","mid_video",120.9343137,1,116.2709677,0,10682,46673,3.05778825059617,2.45511789981745,3.05778825059617,2.86267176801509e-12
"51",145543,"2018_08_27 Spiller DC1  bnGrp 20","primnoa","mid_video",120.9343137,1,116.2709677,0,10682,46673,7.92123382243252,5.04382849532169,7.92123382243252,5.9585231800895e-12
"52",91643,"2018_08_27 Spiller DC1  bnGrp 20","stylaster","mid_video",120.9343137,1,116.2709677,0,10682,46673,5.12398055343931,767.056975571901,5.12398055343931,2.17806647837871e-12
"53",212919,"2018_08_27 Spiller DC1  bnGrp 21","calcigorgia","mid_video",119.0567149,1,126.1885246,0,10682,46673,2.72470419101707e-191,0.000213062518277398,2.72470419101707e-191,1.33386069359955e-19
"54",72779,"2018_08_27 Spiller DC1  bnGrp 21","paragorgia","mid_video",119.0567149,1,126.1885246,0,10682,46673,3.24410288502096,2.51404405959304,3.24410288502096,2.66726161137134e-12
"55",145544,"2018_08_27 Spiller DC1  bnGrp 21","primnoa","mid_video",119.0567149,1,126.1885246,0,10682,46673,7.57081311686422,4.84697870063404,7.57081311686422,5.25993816816399e-12
"56",91644,"2018_08_27 Spiller DC1  bnGrp 21","stylaster","mid_video",119.0567149,1,126.1885246,0,10682,46673,2.49247273925395,629.725705099985,2.49247273925395,1.97839645043667e-12
"57",212920,"2018_08_27 Spiller DC1  bnGrp 22","calcigorgia","mid_video",120.974553,1,136.2903226,0,10682,46673,9.70693378139273e-232,5.04737984882537e-05,9.70693378139273e-232,3.21456363886182e-20
"58",72780,"2018_08_27 Spiller DC1  bnGrp 22","paragorgia","mid_video",120.974553,1,136.2903226,0,10682,46673,3.5193095450235,2.63767157720359,3.5193095450235,2.5624256110939e-12
"59",145545,"2018_08_27 Spiller DC1  bnGrp 22","primnoa","mid_video",120.974553,1,136.2903226,0,10682,46673,7.40299954660736,4.7666874122468,7.40299954660736,4.78275971091775e-12
"60",91645,"2018_08_27 Spiller DC1  bnGrp 22","stylaster","mid_video",120.974553,1,136.2903226,0,10682,46673,1.2927921215161,527.520737052426,1.2927921215161,1.85200347115523e-12
"61",212921,"2018_08_27 Spiller DC1  bnGrp 23","calcigorgia","mid_video",119.058671,1,141.9163934,0,10682,46673,6.16360415398573e-256,2.19989558917197e-05,6.16360415398573e-256,1.41952429720672e-20
"62",72781,"2018_08_27 Spiller DC1  bnGrp 23","paragorgia","mid_video",119.058671,1,141.9163934,0,10682,46673,3.57530918695952,2.6332941067254,3.57530918695952,2.44429909178267e-12
