"","PU_4Km_ID","raw_score","obs_score","UpperOceanSR","depth","max_depth","dive_samps","hook_samps","mid_samps","deep_samps","normalized_obs_score","normalized_score","coral_rank","coral_hotspot","coral_hotspot2"
"79",8473,0.238095243682183,0.238095238095238,"(11) Mainland Fjords",27.1375,31,8,0,0,0,0.210112583896266,0.209589439470704,10,1,1
"80",8476,1.19421996253437e-06,0,"(11) Mainland Fjords",47.55093461709,75.7,8,0,9,0,0,1.05124272405209e-06,7,0,0
"81",8484,3.50025824306634e-06,0,"(11) Mainland Fjords",68.4666666666667,87.7,1,0,1,0,0,3.08119201300065e-06,8,0,0
"82",8625,7.19008527254597e-06,0,"(13) Eastern Queen Charlotte Sound",123.9268094,130.4032787,0,0,2,0,0,6.32925680796471e-06,9,0,0
"83",8628,0.0170854656206856,0.0184928340268146,"(13) Eastern Queen Charlotte Sound",45.3233262266666,59.22,3,0,3,0,0.016319423991943,0.0150399189297348,10,1,1
"84",8629,2.30856361114069e-08,0,"(11) Mainland Fjords",26.4583333333333,30,4,0,0,0,0,2.03217227592879e-08,3,0,0
"85",8630,3.92553446652745e-06,0,"(11) Mainland Fjords",93.7896418775,115.9285714,0,0,4,0,0,3.45555230645704e-06,8,0,0
"86",8632,2.30797579382972e-08,0,"(11) Mainland Fjords",26.75,32,3,0,0,0,0,2.03165483467792e-08,3,0,0
"87",8634,2.15813984397852e-08,0,"(11) Mainland Fjords",28.4166666666667,31,3,0,0,0,0,1.89975790025703e-08,2,0,0
"88",8643,2.50368329352215e-08,0,"(11) Mainland Fjords",25.5,28,2,0,0,0,0,2.20393137631057e-08,5,0,0
"89",8783,6.49814020312973e-06,0,"(13) Eastern Queen Charlotte Sound",87.1146338444444,119.7484663,4,0,2,0,0,5.72015442943484e-06,9,0,0
"90",8786,0.102499361396397,0.110957004160888,"(13) Eastern Queen Charlotte Sound",29,29,1,0,0,0,0.0979165439516578,0.0902276894277309,10,1,1
"91",8787,1.99243625490085e-08,0,"(11) Mainland Fjords",27.6666666666667,33,3,0,0,0,0,1.75389306979687e-08,1,0,0
"92",8788,2.47151669508314e-08,0,"(11) Mainland Fjords",25.875,30,4,0,0,0,0,2.17561590376165e-08,5,0,0
"93",8790,2.09148454660234e-08,0,"(11) Mainland Fjords",28,28,1,0,0,0,0,1.84108286669158e-08,1,0,0
"94",8792,0.50614422693859,0.50598602620429,"(11) Mainland Fjords",212.33267346125,303.7648017,4,0,0,1,0.446518931800986,0.445546425769824,10,1,1
